Company name;Security name;Yahoo code;WSJ code;Google code;Final NOS;Final FFR;Capi;FF Capi;Final Price;          ;YAH price;WSJ price ;SE price;              
Me Today Ltd.;Me Today Ltd.;MEE.NZ;MEE;MEE;412278428;1;;;;;;0,079;;
Marlin Global Ltd.;Marlin Global Ltd.;MLN.NZ;MLN;MLN;151897797;1;;;;;;1,14;;
Marsden Maritime Holdings Ltd.;Marsden Maritime Holdings Ltd.;MMH.NZ;MMH;MMH;41300651;1;;;;;;5,8;;
Moa Group Ltd.;Moa Group Ltd.;MOA.NZ;MOA;MOA;146271626;0,5;;;;;;0,174;;
Marlborough Wine Estates Group Ltd.;Marlborough Wine Estates Group Ltd.;MWE.NZ;MWE;MWE;291652000;0,3;;;;;;0,2;;
Napier Port Holdings Ltd.;Napier Port Holdings Ltd.;NPH.NZ;NPH;NPH;199875937;0,45;;;;;;3,62;;
Plexure Group Ltd.;Plexure Group Ltd.;PLX.NZ;PLX;PLX;140385323;0,8;;;;;;1,55;;
PaySauce Ltd.;PaySauce Ltd.;PYS.NZ;PYS;PYS;136418603;0,55;;;;;;0,355;;
QEX Logistics Ltd.;QEX Logistics Ltd.;QEX.NZ;QEX;QEX;55440651;0,5;;;;;;0,455;;
Southern Charter Financial Group Ltd.;Southern Charter Financial Group Ltd.;SNC.NZ;SNC;SNC;514894500;0,3;;;;;;0,002;;
T&G Global Ltd.;T&G Global Ltd.;TGG.NZ;TGG;TGG;122543204;0,06;;;;;;2,69;;
TruScreen Ltd.;TruScreen Ltd.;TRU.NZ;TRU;TRU;332394825;0,75;;;;;;0,092;;
