Company name;Security name;Yahoo code;WSJ code;Google code;Final NOS;Final FFR;Capi;FF Capi;Final Price;          ;YAH price;WSJ price ;SE price;              
Workspace Group Plc.;Workspace Group Plc.;WKP.L;WKP;WKP;181106425;0,5;;;;;;;;
Computacenter Plc.;Computacenter Plc.;CCC.L;CCC;CCC;122687970;0,9;;;;;;;;
Genus Plc.;Genus Plc.;GNS.L;GNS;GNS;65093780;0,85;;;;;;;;
Aggreko Plc.;Aggreko Plc.;AGK.L;AGK;AGK;256128201;0,85;;;;;;;;
Synthomer Plc.;Synthomer Plc.;SYNT.L;SYNT;SYNT;424850961;0,75;;;;;;;;
Cranswick Plc.;Cranswick Plc.;CWK.L;CWK;CWK;52536658;0,95;;;;;;;;
Domino's Pizza Group Plc.;Domino's Pizza Group Plc.;DOM.L;DOM;DOM;462230073;0,85;;;;;;;;
Moneysupermarket.Com Group Plc.;Moneysupermarket.Com Group Plc.;MONY.L;MONY;MONY;536674673;0,8;;;;;;;;
Vesuvius Plc.;Vesuvius Plc.;VSVS.L;VSVS;VSVS;278485071;0,7;;;;;;;;
SOFTCAT Plc.;SOFTCAT Plc.;SCT.L;SCT;SCT;198683671;0,55;;;;;;;;
PLAYTECH Plc.;PLAYTECH Plc.;PTEC.L;PTEC;PTEC;301253720;0,8;;;;;;;;
HASTINGS GROUP HOLDINGS Ltd.;HASTINGS GROUP HOLDINGS Ltd.;HSTG.L;HSTG;HSTG;661253725;0,65;;;;;;;;
Provident Financial Plc.;Provident Financial Plc.;PFG.L;PFG;PFG;253615794;0,95;;;;;;;;
QINETIQ GROUP;QINETIQ GROUP Plc.;QQ.L;QQ;QQ.;578646927;0,9;;;;;;;;
Diploma Plc.;Diploma Plc.;DPLM.L;DPLM;DPLM;113239555;0,9;;;;;;;;
Vistry Group Plc.;Vistry Group Plc.;VTY.L;VTY;VTY;222210787;0,9;;;;;;;;
Big Yellow Group Plc.;Big Yellow Group Plc.;BYG.L;BYG;BYG;175776903;0,9;;;;;;;;
Euromoney Institutional Investor Plc.;Euromoney Institutional Investor Plc.;ERM.L;ERM;ERM;109289406;0,85;;;;;;;;
COUNTRYSIDE PROPERTIES Plc.;COUNTRYSIDE PROPERTIES Plc.;CSP.L;CSP;CSP;524626870;0,7;;;;;;;;
Dart Group Plc.;Dart Group Plc.;DTG.L;DTG;DTG;178691368;0,7;;;;;;;;
Drax Group Plc.;Drax Group Plc.;DRX.L;DRX;DRX;410762511;0,9;;;;;;;;
Paragon Group Of Companies Plc.;Paragon Group Of Companies Plc.;PAG.L;PAG;PAG;261700607;0,95;;;;;;;;
John Laing Group Plc.;John Laing Group Plc.;JLG.L;JLG;JLG;493250636;0,85;;;;;;;;
Saga Plc.;Saga Plc.;SAGA.L;SAGA;SAGA;1122197461;0,85;;;;;;;;
Centamin Plc.;Centamin Plc.;CEY.L;CEY;CEY;1154722984;0,85;;;;;;;;
ASSURA GROUP Ltd.;ASSURA GROUP Ltd.;AGR.L;AGR;AGR;2661960719;0,8;;;;;;;;
RATHBONE BROS;RATHBONE BROS;RAT.L;RAT;RAT;61103135;0,6;;;;;;;;
Cairn Energy Plc.;Cairn Energy Plc.;CNE.L;CNE;CNE;589552585;0,85;;;;;;;;
TALK TALK TELECOM GROUP Plc.;TALK TALK TELECOM GROUP Plc.;TALK.L;TALK;TALK;1146000000;0,4;;;;;;;;
ESSENTRA Plc.;ESSENTRA Plc.;ESNT.L;ESNT;ESNT;264171657;0,9;;;;;;;;
WETHERSPOON(J.D.);WETHERSPOON(J.D.);JDW.L;JDW;JDW;120380155;0,55;;;;;;;;
LONDONMETRIC PROPERTY Plc.;LONDONMETRIC PROPERTY Plc.;LMP.L;LMP;LMP;908332443;0,8;;;;;;;;
TI Fluid Systems Plc.;TI Fluid Systems Plc.;TIFS.L;TIFS;TIFS;520269141;0,4;;;;;;;;
Grainger Plc.;Grainger Plc.;GRI.L;GRI;GRI;675165851;0,85;;;;;;;;
Senior Plc.;Senior Plc.;SNR.L;SNR;SNR;419418082;0,9;;;;;;;;
BLUE PRISM GROUP Plc.;BLUE PRISM GROUP Plc.;PRSM.L;PRSM;PRSM;93859256;1;;;;;;;;
ULTRA ELECTRONICS Holdings;ULTRA ELECTRONICS Holdings;ULE.L;ULE;ULE;71195475;0,85;;;;;;;;
Elementis Plc.;Elementis Plc.;ELM.L;ELM;ELM;580801241;0,75;;;;;;;;
Hunting Plc.;Hunting Plc.;HTG.L;HTG;HTG;164940082;0,75;;;;;;;;
Greencore Group Plc.;Greencore Group Plc.;GNC.L;GNC;GNC;446157256;0,9;;;;;;;;
Just Group Plc.;Just Group Plc.;JUST.L;JUST;JUST;1038128556;0,95;;;;;;;;
Savills Plc.;Savills Plc.;SVS.L;SVS;SVS;143062707;0,9;;;;;;;;
RWS Holdings;RWS Holdings;RWS.L;RWS;RWS;275188492;0,55;;;;;;;;
Clinigen Group Plc.;Clinigen Group Plc.;CLIN.L;CLIN;CLIN;132898771;0,95;;;;;;;;
HILL & SMITH Holdings;HILL & SMITH Holdings;HILS.L;HILS;HILS;79469227;0,85;;;;;;;;
SAFESTORE Holdings Plc.;SAFESTORE Holdings Plc.;SAFE.L;SAFE;SAFE;210439584;0,85;;;;;;;;
LANCASHIRE Holdings;LANCASHIRE Holdings;LRE.L;LRE;LRE;242510007;0,85;;;;;;;;
Coats Group Plc.;Coats Group Plc.;COA.L;COA;COA;1446050584;0,8;;;;;;;;
IBSTOCK Plc.;IBSTOCK Plc.;IBST.L;IBST;IBST;409559785;0,8;;;;;;;;
KEYWORDS STUDIOS Plc.;KEYWORDS STUDIOS Plc.;KWS.L;KWS;KWS;74200942;0,8;;;;;;;;
Firstgroup Plc.;Firstgroup Plc.;FGP.L;FGP;FGP;1229274301;0,6;;;;;;;;
Mitchells & Butlers Plc.;Mitchells & Butlers Plc.;MAB.L;MAB;MAB;429201117;0,45;;;;;;;;
Bakkavor Group Plc.;Bakkavor Group Plc.;BAKK.L;BAKK;BAKK;579425585;0,2;;;;;;;;
Capita Plc.;Capita Plc.;CPI.L;CPI;CPI;1671100000;0,85;;;;;;;;
Serco Group Plc.;Serco Group Plc.;SRP.L;SRP;SRP;1233380637;0,85;;;;;;;;
Superdry Plc.;Superdry Plc.;SDRY.L;SDRY;SDRY;82024692;0,95;;;;;;;;
